Theatre,Movie Name,Green Seats,Ticket Price,Revenue
Vanitha Cineplex Rgb Laser 4K 3D Atmos Edappally,Kantara: A Legend Chapte-1,138,200,27600
Vanitha Cineplex Rgb Laser 4K 3D Atmos Edappally,Kantara: A Legend Chapte-1,88,200,17600
Vanitha Cineplex Rgb Laser 4K 3D Atmos Edappally,Kantara: A Legend Chapte-1,66,200,13200
Four Star Movies Manjapra Angamaly,Avatar: The Way of Water,295,200,59000
Four Star Movies Manjapra Angamaly,Avatar: The Way of Water,234,200,46800
Four Star Movies Manjapra Angamaly,Avatar: The Way of Water,172,200,34400
Pvr Forum Mall Kochi,Kantara: A Legend Chapte-1,97,200,19400
Pvr Forum Mall Kochi,Kantara: A Legend Chapte-1,87,200,17400
Pvr Forum Mall Kochi,Kantara: A Legend Chapte-1,42,200,8400
